index,keyword,view,menu,checkout,order,keyword_lower,item_id,cuisine_tag,item_name,item_price,merchant_id,item_name_lower
2845,mango chutney,49022,18199,11972,1089,mango chutney,207,Side,Mango Chutney,1.75,b9e8c,mango chutney
2853,pancit bihon with shrimp,40179,11448,5388,265,pancit bihon with shrimp,209,Filipino,Pancit Bihon with Shrimp,8.5,f7d1a,pancit bihon with shrimp
2862,pepperoni pizza slice,48849,17101,6308,375,pepperoni pizza slice,215,Italian,Pepperoni Pizza Slice,3.0,3f7e4,pepperoni pizza slice
2870,root beer float,18868,6429,4193,186,root beer float,212,Beverage,Root Beer Float,3.5,d3b6a,root beer float
2878,spicy shrimp tacos,41914,7752,4295,299,spicy shrimp tacos,208,Mexican,Spicy Shrimp Tacos,8.0,f3b8d,spicy shrimp tacos
2887,vegetable korma,20834,4271,1792,163,vegetable korma,214,Indian,Vegetable Korma,8.75,b9e8c,vegetable korma
2896,vietnamese pho with beef,38785,14906,5971,414,vietnamese pho with beef,210,Asian,Vietnamese Pho with Beef,10.0,d4f7a,vietnamese pho with beef
2905,strawberry protein smoothie,16038,5841,3878,360,strawberry protein smoothie,221,Beverage,Strawberry Protein Smoothie,6.5,5e7b2,strawberry protein smoothie
2914,spicy wontons in chili oil,30179,7116,3400,116,spicy wontons in chili oil,217,Chinese,Spicy Wontons in Chili Oil,6.25,7f2c1,spicy wontons in chili oil
2923,seasoned curly fries,4590,958,336,17,seasoned curly fries,218,Side,Seasoned Curly Fries,3.5,b9e5f,seasoned curly fries
2932,greek salad with feta,41222,6212,3802,286,greek salad with feta,219,Healthy,Greek Salad with Feta,8.5,3b1c6,greek salad with feta
2941,granola yogurt parfait,32345,8345,3987,231,granola yogurt parfait,223,Snack,Granola Yogurt Parfait,4.25,c9f0b,granola yogurt parfait
2950,freshly brewed coffee,23743,7552,2889,257,freshly brewed coffee,222,Beverage,Freshly Brewed Coffee,2.5,3e2b6,freshly brewed coffee
2959,chicken karaage ramen,45411,15131,9116,450,chicken karaage ramen,220,Japanese,Chicken Karaage Ramen,9.75,2f7b5,chicken karaage ramen
2968,cappuccino,6690,1427,596,44,cappuccino,216,Beverage,Cappuccino,3.25,6f1c4,cappuccino
2976,beef ramen bowl,5959,1469,691,32,beef ramen bowl,224,Asian,Beef Ramen Bowl,9.75,b7a3e,beef ramen bowl
2985,baba ghanoush with pita,43948,14249,7820,326,baba ghanoush with pita,225,Mediterranean,Baba Ghanoush with Pita,6.0,6a9c1,baba ghanoush with pita
2995,tuna melt,914,185,106,4,tuna melt,229,American,Tuna Melt,7.25,0c6e4,tuna melt
3003,thai fish cakes,49431,9852,3301,268,thai fish cakes,228,Side,Thai Fish Cakes,4.0,d4f7a,thai fish cakes
3012,seaweed salad,25183,9913,2614,196,seaweed salad,227,Side,Seaweed Salad,3.0,8f2a6,seaweed salad
3012,seaweed salad,25183,9913,2614,196,seaweed salad,244,Side,Seaweed Salad,3.25,f9e4c,seaweed salad
3012,seaweed salad,25183,9913,2614,196,seaweed salad,376,Side,Seaweed Salad,3.0,2d7a9,seaweed salad
3020,seafood paella,18044,6826,3883,270,seafood paella,231,Seafood,Seafood Paella,14.5,a6c9f,seafood paella
3028,pad thai with chicken,36823,12859,8103,801,pad thai with chicken,230,Thai,Pad Thai with Chicken,9.0,7a8e0,pad thai with chicken
3036,olive mix,12425,3347,905,54,olive mix,233,Side,Olive Mix,2.25,5e0b4,olive mix
3045,new york style dog,35747,10926,4752,211,new york style dog,234,American,New York Style Dog,4.25,d3b6a,new york style dog
3053,grilled veggie panini,2098,430,293,23,grilled veggie panini,232,American,Grilled Veggie Panini,7.75,8a2c6,grilled veggie panini
3061,chorizo & egg breakfast taco,20629,7740,5359,513,chorizo & egg breakfast taco,226,Mexican,Chorizo & Egg Breakfast Taco,6.5,a5c3b,chorizo & egg breakfast taco
3070,buttermilk pancakes,38165,11757,7065,500,buttermilk pancakes,235,Breakfast,Buttermilk Pancakes,6.0,3c7e9,buttermilk pancakes
3078,4-piece chicken meal,23073,7542,3002,290,4-piece chicken meal,242,Fried Chicken,4-Piece Chicken Meal,9.5,0c2d7,4-piece chicken meal
3086,avocado kale salad,45879,9943,5199,314,avocado kale salad,245,Healthy,Avocado Kale Salad,9.25,3b1c6,avocado kale salad
3095,classic buffalo wings (6 pcs),29751,11665,3682,213,classic buffalo wings (6 pcs),238,American,Classic Buffalo Wings (6 pcs),7.5,8d5f9,classic buffalo wings (6 pcs)
3104,filet mignon,23144,6538,3511,262,filet mignon,241,Steak,Filet Mignon,18.75,a1b5e,filet mignon
3113,green tea,43662,12471,8012,494,green tea,243,Beverage,Green Tea,2.0,5b8d2,green tea
3122,pork & chive dumplings (6),37988,12630,4014,268,pork & chive dumplings (6),240,Chinese,Pork & Chive Dumplings (6),5.5,7f2c1,pork & chive dumplings (6)
3130,seafood laksa noodles,22017,8051,2229,83,seafood laksa noodles,236,Asian,Seafood Laksa Noodles,10.25,9b5a0,seafood laksa noodles
3138,seaweed salad,44834,17197,10523,675,seaweed salad,227,Side,Seaweed Salad,3.0,8f2a6,seaweed salad
3138,seaweed salad,44834,17197,10523,675,seaweed salad,244,Side,Seaweed Salad,3.25,f9e4c,seaweed salad
3138,seaweed salad,44834,17197,10523,675,seaweed salad,376,Side,Seaweed Salad,3.0,2d7a9,seaweed salad
3146,sesame tofu bowl,30296,8863,3561,169,sesame tofu bowl,237,Asian,Sesame Tofu Bowl,8.5,d6e4a,sesame tofu bowl
3154,shawarma fries,21940,8049,2158,132,shawarma fries,239,Mediterranean,Shawarma Fries,7.5,1a5f4,shawarma fries
3162,tofu poke bowl,35706,12711,6755,571,tofu poke bowl,246,Hawaiian,Tofu Poke Bowl,9.25,f9e4c,tofu poke bowl
3170,sparkling water,29947,6893,3947,289,sparkling water,255,Beverage,Sparkling Water,2.5,7c5b9,sparkling water
3178,smoked turkey leg,30502,4886,2867,236,smoked turkey leg,254,BBQ,Smoked Turkey Leg,10.0,f8a3d,smoked turkey leg
3186,paneer tikka masala,7434,1313,690,38,paneer tikka masala,247,Indian,Paneer Tikka Masala,9.0,c5e2a,paneer tikka masala
3194,horchata,9454,2973,1388,72,horchata,249,Beverage,Horchata,2.75,f3b8d,horchata
3202,gyoza (5 pcs),33793,9925,4488,308,gyoza (5 pcs),252,Side,Gyoza (5 pcs),4.0,4f0c5,gyoza (5 pcs)
3210,grilled chicken rice bowl,39105,9157,4984,370,grilled chicken rice bowl,250,Asian,Grilled Chicken Rice Bowl,8.75,7f4d2,grilled chicken rice bowl
3218,garlic sauce,17170,5149,2444,168,garlic sauce,251,Side,Garlic Sauce,1.0,1c2e6,garlic sauce
3226,basmati rice,48282,12120,4924,220,basmati rice,248,Side,Basmati Rice,2.5,6a0c3,basmati rice
3234,acai bowl,14844,4730,2938,206,acai bowl,253,Snack,Acai Bowl,7.0,5e7b2,acai bowl
3242,tofu poke bowl,39881,6097,3404,193,tofu poke bowl,246,Hawaiian,Tofu Poke Bowl,9.25,f9e4c,tofu poke bowl
3250,sparkling water,27321,5129,3385,279,sparkling water,255,Beverage,Sparkling Water,2.5,7c5b9,sparkling water
3258,smoked turkey leg,21226,3880,2435,142,smoked turkey leg,254,BBQ,Smoked Turkey Leg,10.0,f8a3d,smoked turkey leg
3266,paneer tikka masala,17186,3738,2534,130,paneer tikka masala,247,Indian,Paneer Tikka Masala,9.0,c5e2a,paneer tikka masala
3274,horchata,8316,2369,846,71,horchata,249,Beverage,Horchata,2.75,f3b8d,horchata
3282,gyoza (5 pcs),45768,8627,4583,262,gyoza (5 pcs),252,Side,Gyoza (5 pcs),4.0,4f0c5,gyoza (5 pcs)
3290,grilled chicken rice bowl,33479,7898,3569,151,grilled chicken rice bowl,250,Asian,Grilled Chicken Rice Bowl,8.75,7f4d2,grilled chicken rice bowl
3297,garlic sauce,28505,5964,3460,230,garlic sauce,251,Side,Garlic Sauce,1.0,1c2e6,garlic sauce
3305,basmati rice,1053,209,89,6,basmati rice,248,Side,Basmati Rice,2.5,6a0c3,basmati rice
3313,acai bowl,48086,18484,7075,317,acai bowl,253,Snack,Acai Bowl,7.0,5e7b2,acai bowl
3321,massaman curry,4178,799,277,27,massaman curry,256,Thai,Massaman Curry,10.0,f1c7a,massaman curry
3329,supreme pizza,35268,11290,2990,208,supreme pizza,257,Italian,Supreme Pizza,10.5,4b1d7,supreme pizza
3337,mixed grill platter,35583,9507,5848,445,mixed grill platter,258,Mediterranean,Mixed Grill Platter,11.5,1a5f4,mixed grill platter
3345,fresh orange juice,35362,12448,6841,595,fresh orange juice,259,Beverage,Fresh Orange Juice,3.0,3c7e9,fresh orange juice
3347,orange juice,28418,10909,2972,138,orange juice,305,Beverage,Orange Juice,3.0,2b5d7,orange juice
3353,grilled lamb chops,34845,6471,3442,211,grilled lamb chops,260,Contemporary,Grilled Lamb Chops,15.0,4a3e6,grilled lamb chops
3361,thai pad see ew,774,176,69,5,thai pad see ew,261,Asian,Thai Pad See Ew,9.5,d4f7a,thai pad see ew
3369,edamame with sea salt,6913,2162,1057,75,edamame with sea salt,262,Side,Edamame with Sea Salt,3.0,4a7c1,edamame with sea salt
3377,blue cheese burger,40066,8243,4721,436,blue cheese burger,263,Burgers,Blue Cheese Burger,8.75,0c5d8,blue cheese burger
3385,lumpiang shanghai,24859,8029,3989,197,lumpiang shanghai,264,Side,Lumpiang Shanghai,4.25,f7d1a,lumpiang shanghai
3393,egg & cheese bagel,10655,2049,1403,122,egg & cheese bagel,265,Breakfast,Egg & Cheese Bagel,5.0,3e2b6,egg & cheese bagel
3401,goan prawn curry,23125,8740,2823,202,goan prawn curry,266,Indian,Goan Prawn Curry,12.0,a3e8b,goan prawn curry
3409,turkey club sandwich,28204,6213,4006,319,turkey club sandwich,267,American,Turkey Club Sandwich,7.5,0c6e4,turkey club sandwich
3416,portobello mushroom burger,22468,4503,1462,81,portobello mushroom burger,268,Contemporary,Portobello Mushroom Burger,9.25,b0a4f,portobello mushroom burger
3423,mini waffle sundae,32917,7293,4328,302,mini waffle sundae,269,Dessert,Mini Waffle Sundae,5.5,5d9e3,mini waffle sundae
3431,butter chicken with rice,41238,7799,4249,161,butter chicken with rice,270,Indian,Butter Chicken with Rice,10.0,c5e2a,butter chicken with rice
3432,butter chicken,27981,6383,3965,219,butter chicken,83,Indian,Butter Chicken,10.25,a3e8b,butter chicken
3438,blueberry oat smoothie,43729,9226,5872,451,blueberry oat smoothie,271,Beverage,Blueberry Oat Smoothie,6.0,c9f0b,blueberry oat smoothie
3445,chicken & waffles,5353,1268,761,68,chicken & waffles,204,Breakfast,Chicken & Waffles,9.0,e3b2d,chicken & waffles
3445,chicken & waffles,5353,1268,761,68,chicken & waffles,272,Fried Chicken,Chicken & Waffles,10.0,0c2d7,chicken & waffles
3452,factory special burger,34724,11072,4415,370,factory special burger,273,Burgers,Factory Special Burger,10.0,5c1f8,factory special burger
3460,hummus & pita,44285,10920,6266,480,hummus & pita,274,Mediterranean,Hummus & Pita,5.0,8e9a0,hummus & pita
3468,tabbouleh salad,41630,6871,3055,257,tabbouleh salad,275,Side,Tabbouleh Salad,3.75,d1e9b,tabbouleh salad
3476,falafel bowl with hummus,36371,6621,4573,368,falafel bowl with hummus,276,Mediterranean,Falafel Bowl with Hummus,8.0,d1e9b,falafel bowl with hummus
3484,bbq short ribs (galbi),46104,12016,5049,256,bbq short ribs (galbi),277,Korean,BBQ Short Ribs (Galbi),14.75,c5a8e,bbq short ribs (galbi)
3492,berry compote french toast,44280,16729,10314,494,berry compote french toast,278,Breakfast,Berry Compote French Toast,7.25,6f1c4,berry compote french toast
3500,salmon nigiri (5 pcs),36159,7580,3121,299,salmon nigiri (5 pcs),279,Japanese,Salmon Nigiri (5 pcs),8.0,b3e8f,salmon nigiri (5 pcs)
3508,spicy garlic udon,46878,10524,4152,166,spicy garlic udon,280,Asian,Spicy Garlic Udon,8.5,b7a3e,spicy garlic udon
3516,crab cake burger,678,163,96,4,crab cake burger,281,Seafood,Crab Cake Burger,10.75,b9e5f,crab cake burger
3524,malai kofta,1565,573,210,11,malai kofta,282,Indian,Malai Kofta,9.25,2a9c5,malai kofta
3532,pecan pie slice,29813,10773,7498,467,pecan pie slice,283,Dessert,Pecan Pie Slice,5.25,9c8e2,pecan pie slice
3540,steamed vegetables,16395,2555,994,53,steamed vegetables,284,Side,Steamed Vegetables,3.0,7e2d8,steamed vegetables
3548,grilled ribeye steak,16231,3051,1489,91,grilled ribeye steak,285,Steak,Grilled Ribeye Steak,16.5,a1b5e,grilled ribeye steak
3556,spicy chicken tenders,6773,2262,571,56,spicy chicken tenders,286,Fried Chicken,Spicy Chicken Tenders,8.0,0c2d7,spicy chicken tenders
3564,zucchini noodle salad,26078,7786,2652,131,zucchini noodle salad,287,Vegetarian,Zucchini Noodle Salad,7.75,9a8c5,zucchini noodle salad
3572,chicken feet in black bean sauce,31655,8858,3999,343,chicken feet in black bean sauce,288,Chinese,Chicken Feet in Black Bean Sauce,5.25,7d4e1,chicken feet in black bean sauce
3580,lebanese pickles,16111,5359,2451,111,lebanese pickles,289,Side,Lebanese Pickles,2.25,1f5b7,lebanese pickles
3588,vietnamese iced coffee,5887,1459,684,62,vietnamese iced coffee,290,Beverage,Vietnamese Iced Coffee,3.25,c8d3e,vietnamese iced coffee
3596,texas toast pulled pork,2966,777,480,24,texas toast pulled pork,291,BBQ,Texas Toast Pulled Pork,9.5,f8a3d,texas toast pulled pork
3604,crunchy taco combo,47162,18209,5730,435,crunchy taco combo,292,Mexican,Crunchy Taco Combo,6.75,a5c3b,crunchy taco combo
3612,grilled cod with lemon butter,9728,1966,726,27,grilled cod with lemon butter,293,Seafood,Grilled Cod with Lemon Butter,12.0,9b4c2,grilled cod with lemon butter
3620,gulab jamun,15387,5362,3044,239,gulab jamun,294,Dessert,Gulab Jamun,3.0,c5e2a,gulab jamun
3628,blueberry pie,25925,4838,1518,73,blueberry pie,295,Dessert,Blueberry Pie,4.75,8b7a3,blueberry pie
3636,lotus leaf sticky rice,20625,3447,1869,180,lotus leaf sticky rice,296,Chinese,Lotus Leaf Sticky Rice,6.0,7d4e1,lotus leaf sticky rice
3644,hawaiian pizza,12311,4584,2982,165,hawaiian pizza,297,Italian,Hawaiian Pizza,9.0,7c5b9,hawaiian pizza
3652,goan fish curry,38575,14675,3806,240,goan fish curry,298,Indian,Goan Fish Curry,11.5,2a9c5,goan fish curry
3660,beef burrito,32309,10127,6962,316,beef burrito,299,Mexican,Beef Burrito,8.5,b4a8f,beef burrito
3668,cheesy smash burger,27271,7237,4215,180,cheesy smash burger,300,Burgers,Cheesy Smash Burger,9.25,5c1f8,cheesy smash burger
3676,ratatouille,24750,6843,3437,230,ratatouille,301,French,Ratatouille,11.0,2f3d7,ratatouille
3684,bbq chicken pizza,38190,14945,8588,401,bbq chicken pizza,302,Italian,BBQ Chicken Pizza,8.5,3f7e4,bbq chicken pizza
3692,spicy sausage pizza,8883,2234,1240,118,spicy sausage pizza,303,Italian,Spicy Sausage Pizza,9.25,6f5a0,spicy sausage pizza
3700,steamed bbq pork buns,25411,6319,4260,300,steamed bbq pork buns,304,Chinese,Steamed BBQ Pork Buns,4.75,0e1f9,steamed bbq pork buns
3708,orange juice,11857,3075,1630,123,orange juice,305,Beverage,Orange Juice,3.0,2b5d7,orange juice
3716,beef street tacos (3 pcs),48536,12141,6759,369,beef street tacos (3 pcs),306,Mexican,Beef Street Tacos (3 pcs),7.5,e8b3c,beef street tacos (3 pcs)
3724,tuna sashimi (5 pcs),29842,9489,6102,608,tuna sashimi (5 pcs),307,Japanese,Tuna Sashimi (5 pcs),9.0,8f2a6,tuna sashimi (5 pcs)
3732,bbq bacon burger,7083,2291,1151,99,bbq bacon burger,308,Burgers,BBQ Bacon Burger,9.5,0c5d8,bbq bacon burger
3740,avocado veggie burger,36675,11776,5174,316,avocado veggie burger,309,Burgers,Avocado Veggie Burger,8.5,4e2d1,avocado veggie burger
3748,strawberries & cream crepe,2380,425,269,23,strawberries & cream crepe,310,French,Strawberries & Cream Crepe,6.5,e7a2f,strawberries & cream crepe
3756,green detox smoothie,35325,8891,2894,124,green detox smoothie,311,Beverage,Green Detox Smoothie,6.0,5e7b2,green detox smoothie
3764,chicken alfredo crepe,21703,7833,3647,228,chicken alfredo crepe,312,French,Chicken Alfredo Crepe,8.0,e7a2f,chicken alfredo crepe
3772,chicken fajita burrito,24203,8144,5333,332,chicken fajita burrito,313,Mexican,Chicken Fajita Burrito,8.25,b4a8f,chicken fajita burrito
3780,steamed jasmine rice,45035,14393,5750,382,steamed jasmine rice,314,Side,Steamed Jasmine Rice,2.25,1a3f7,steamed jasmine rice
3788,cinnamon pizza bites,11928,4027,1213,108,cinnamon pizza bites,315,Dessert,Cinnamon Pizza Bites,4.0,4b1d7,cinnamon pizza bites
3796,chorizo in red wine,25994,4199,2655,126,chorizo in red wine,316,Spanish,Chorizo in Red Wine,6.75,2a3e9,chorizo in red wine
3804,asian sesame chicken salad,21927,8473,3987,206,asian sesame chicken salad,317,Healthy,Asian Sesame Chicken Salad,8.75,3b1c6,asian sesame chicken salad
3812,pancit bihon guisado,25071,6152,3784,256,pancit bihon guisado,318,Filipino,Pancit Bihon Guisado,7.75,8f7c2,pancit bihon guisado
3820,shrimp teriyaki bowl,32960,8319,3784,242,shrimp teriyaki bowl,319,Japanese,Shrimp Teriyaki Bowl,9.75,3d9c8,shrimp teriyaki bowl
3828,shrimp po' boy sandwich,2311,898,459,24,shrimp po' boy sandwich,320,Seafood,Shrimp Po' Boy Sandwich,9.75,5f1d3,shrimp po' boy sandwich
3836,peanut butter power smoothie,39705,13406,3893,256,peanut butter power smoothie,321,Beverage,Peanut Butter Power Smoothie,6.75,c9f0b,peanut butter power smoothie
3844,tofu stir fry,43787,16921,6578,266,tofu stir fry,322,Vegetarian,Tofu Stir Fry,8.5,9a8c5,tofu stir fry
3852,beef brisket plate,39577,7509,4704,321,beef brisket plate,323,BBQ,Beef Brisket Plate,12.0,2a1c4,beef brisket plate
3861,vegetarian burrito bowl,22259,8713,5011,180,vegetarian burrito bowl,324,Mexican,Vegetarian Burrito Bowl,7.75,b4a8f,vegetarian burrito bowl
3869,albóndigas (meatballs),24391,6990,3923,344,albóndigas (meatballs),325,Spanish,Albóndigas (Meatballs),6.5,5e0b4,albóndigas (meatballs)
3878,spicy falafel pita,45562,17392,4604,440,spicy falafel pita,326,Mediterranean,Spicy Falafel Pita,7.75,d1e9b,spicy falafel pita
3881,falafel wrap,2193,616,171,16,falafel wrap,34,Mediterranean,Falafel Wrap,7.5,d1e9b,falafel wrap
3886,ahi tuna poke bowl,20168,3147,1693,159,ahi tuna poke bowl,327,Hawaiian,Ahi Tuna Poke Bowl,11.0,4a7c1,ahi tuna poke bowl
3894,stuffed bell peppers,46720,12911,8773,803,stuffed bell peppers,328,Vegetarian,Stuffed Bell Peppers,8.25,5b3d8,stuffed bell peppers
3902,2-piece fried chicken,42714,8428,4008,163,2-piece fried chicken,329,Fried Chicken,2-Piece Fried Chicken,6.5,0e1b3,2-piece fried chicken
3910,lychee iced tea,6381,1396,866,76,lychee iced tea,330,Beverage,Lychee Iced Tea,3.0,d6e4a,lychee iced tea
3918,crème brûlée,9000,1974,1374,130,crème brûlée,331,Dessert,Crème Brûlée,5.5,2f3d7,crème brûlée
3926,spanish tortilla,30713,8167,3278,129,spanish tortilla,332,Spanish,Spanish Tortilla,5.5,5e0b4,spanish tortilla
3934,patatas bravas,14768,3661,1870,164,patatas bravas,333,Spanish,Patatas Bravas,5.0,2a3e9,patatas bravas
3942,chicken sandwich,44909,13013,4243,251,chicken sandwich,334,Fried Chicken,Chicken Sandwich,7.0,0e1b3,chicken sandwich
3950,classic falafel plate,28016,10073,5600,450,classic falafel plate,335,Mediterranean,Classic Falafel Plate,8.25,6a9c1,classic falafel plate
3958,meat lovers pizza,10215,4056,2669,94,meat lovers pizza,336,Italian,Meat Lovers Pizza,10.0,7c5b9,meat lovers pizza
3966,vegetable dumplings (6),23577,4294,2458,202,vegetable dumplings (6),337,Chinese,Vegetable Dumplings (6),5.0,7f2c1,vegetable dumplings (6)
3974,sesame peanut noodles,18739,3812,1005,66,sesame peanut noodles,338,Asian,Sesame Peanut Noodles,8.25,9b5a0,sesame peanut noodles
3982,cornbread muffin,14375,5175,1819,121,cornbread muffin,339,Side,Cornbread Muffin,2.5,9d5f2,cornbread muffin
3990,leche flan,6237,1793,1034,41,leche flan,340,Dessert,Leche Flan,3.75,8f7c2,leche flan
3998,thai spring rolls,14986,3156,1206,47,thai spring rolls,341,Side,Thai Spring Rolls,3.5,7a8e0,thai spring rolls
4006,falafel & eggplant sandwich,13045,2752,825,36,falafel & eggplant sandwich,342,Mediterranean,Falafel & Eggplant Sandwich,7.5,6a9c1,falafel & eggplant sandwich
4014,spicy jalapeño dog,44332,15272,10121,808,spicy jalapeño dog,343,American,Spicy Jalapeño Dog,4.75,a4f0b,spicy jalapeño dog
4022,fountain drink,3115,707,420,21,fountain drink,344,Beverage,Fountain Drink,2.25,6c3f2,fountain drink
4030,tropical citrus blend,45531,10793,4220,197,tropical citrus blend,345,Beverage,Tropical Citrus Blend,6.25,c9f0b,tropical citrus blend
4038,tofu teriyaki bowl,29254,11374,5061,244,tofu teriyaki bowl,346,Japanese,Tofu Teriyaki Bowl,8.25,7e2d8,tofu teriyaki bowl
4046,lemon herb rice,9182,2228,1513,79,lemon herb rice,347,Side,Lemon Herb Rice,3.25,a6c9f,lemon herb rice
4054,pico de gallo,1991,387,221,13,pico de gallo,348,Side,Pico de Gallo,2.0,7d3c1,pico de gallo
4062,chocolate glazed donut,23921,4263,2875,196,chocolate glazed donut,349,Dessert,Chocolate Glazed Donut,2.0,e9a1c,chocolate glazed donut
4070,beef teriyaki bowl,41489,11398,2952,112,beef teriyaki bowl,350,Japanese,Beef Teriyaki Bowl,9.25,7e2d8,beef teriyaki bowl
4078,spinach & ricotta ravioli,5172,1191,530,20,spinach & ricotta ravioli,351,Italian,Spinach & Ricotta Ravioli,10.25,d4f0a,spinach & ricotta ravioli
4086,whole grain roll,22747,6141,3867,251,whole grain roll,352,Side,Whole Grain Roll,1.5,9f6b0,whole grain roll
4094,coleslaw,46442,13430,4359,410,coleslaw,353,Side,Coleslaw,2.5,2a1c4,coleslaw
4094,coleslaw,46442,13430,4359,410,coleslaw,371,Side,Coleslaw,2.5,8a2c6,coleslaw
4102,tom yum soup,5366,1012,490,25,tom yum soup,354,Thai,Tom Yum Soup,7.5,f1c7a,tom yum soup
4110,salmon poke bowl,13089,3682,2458,108,salmon poke bowl,355,Hawaiian,Salmon Poke Bowl,10.5,f9e4c,salmon poke bowl
4118,jasmine iced tea,19311,5086,3318,253,jasmine iced tea,356,Beverage,Jasmine Iced Tea,2.75,9b5a0,jasmine iced tea
4126,cold brew coffee,47746,17806,11975,1027,cold brew coffee,357,Beverage,Cold Brew Coffee,3.0,e9a1c,cold brew coffee
4134,peach cobbler waffle,21064,6582,3906,238,peach cobbler waffle,358,Breakfast,Peach Cobbler Waffle,7.75,5d9e3,peach cobbler waffle
4142,beef vindaloo,32248,7672,4565,249,beef vindaloo,359,Indian,Beef Vindaloo,10.75,2a9c5,beef vindaloo
4150,craft soda,952,150,64,2,craft soda,360,Beverage,Craft Soda,3.0,4e2d1,craft soda
4158,tonkotsu ramen,14738,4328,2087,101,tonkotsu ramen,361,Japanese,Tonkotsu Ramen,10.25,4f0c5,tonkotsu ramen
4166,grilled chicken burger,19003,3275,1017,97,grilled chicken burger,362,Burgers,Grilled Chicken Burger,8.0,5c1f8,grilled chicken burger
4174,matcha latte,43663,7373,1917,75,matcha latte,363,Beverage,Matcha Latte,3.25,2f7b5,matcha latte
4182,tuna poke with avocado,10739,1969,785,52,tuna poke with avocado,364,Hawaiian,Tuna Poke with Avocado,11.0,f9e4c,tuna poke with avocado
4190,chimichurri flank steak,47279,11928,8237,390,chimichurri flank steak,365,Steak,Chimichurri Flank Steak,11.25,4c9a2,chimichurri flank steak
4198,herbed chicken breast,48950,15531,4997,380,herbed chicken breast,366,Contemporary,Herbed Chicken Breast,12.5,4a3e6,herbed chicken breast
4206,manchego cheese plate,4653,1841,804,46,manchego cheese plate,367,Spanish,Manchego Cheese Plate,7.0,5e0b4,manchego cheese plate
4214,mint yogurt drink,18274,6177,2934,171,mint yogurt drink,368,Beverage,Mint Yogurt Drink,3.25,1a5f4,mint yogurt drink
4222,bibimbap bowl,15751,4590,1388,96,bibimbap bowl,369,Korean,Bibimbap Bowl,10.0,2d7a9,bibimbap bowl
4230,miso soup,21526,7446,3603,173,miso soup,125,Side,Miso Soup,2.5,b3e8f,miso soup
4230,miso soup,21526,7446,3603,173,miso soup,370,Side,Miso Soup,2.25,7f4d2,miso soup
4238,coleslaw,33258,6873,1785,125,coleslaw,353,Side,Coleslaw,2.5,2a1c4,coleslaw
4238,coleslaw,33258,6873,1785,125,coleslaw,371,Side,Coleslaw,2.5,8a2c6,coleslaw
4246,mango banana smoothie,8603,3145,1796,163,mango banana smoothie,372,Beverage,Mango Banana Smoothie,5.5,5e7b2,mango banana smoothie
4254,bbq chicken wings,7474,1284,350,22,bbq chicken wings,373,BBQ,BBQ Chicken Wings,8.5,2a1c4,bbq chicken wings
4262,elote (mexican street corn),21461,6551,2536,147,elote (mexican street corn),374,Side,Elote (Mexican Street Corn),3.5,e8b3c,elote (mexican street corn)
4271,chicken teriyaki bowl,15757,3571,2487,234,chicken teriyaki bowl,375,Japanese,Chicken Teriyaki Bowl,8.75,7e2d8,chicken teriyaki bowl
4279,seaweed salad,9942,3453,971,37,seaweed salad,227,Side,Seaweed Salad,3.0,8f2a6,seaweed salad
4279,seaweed salad,9942,3453,971,37,seaweed salad,244,Side,Seaweed Salad,3.25,f9e4c,seaweed salad
4279,seaweed salad,9942,3453,971,37,seaweed salad,376,Side,Seaweed Salad,3.0,2d7a9,seaweed salad
4287,lamb gyro wrap,33046,7504,4323,301,lamb gyro wrap,377,Mediterranean,Lamb Gyro Wrap,8.5,8e9a0,lamb gyro wrap
4295,pesto chicken pizza,2689,460,306,27,pesto chicken pizza,378,Italian,Pesto Chicken Pizza,9.75,6f5a0,pesto chicken pizza
4309,grilled veggie wrap,33472,6601,4046,366,grilled veggie wrap,380,Vegetarian,Grilled Veggie Wrap,7.5,5b3d8,grilled veggie wrap
4317,veggie lovers pizza,49857,16123,6232,404,veggie lovers pizza,381,Italian,Veggie Lovers Pizza,9.25,4b1d7,veggie lovers pizza
4325,fettuccine alfredo,47752,13994,7783,345,fettuccine alfredo,382,Italian,Fettuccine Alfredo,10.0,d4f0a,fettuccine alfredo
4333,3-bean veggie chili,31194,9811,4119,152,3-bean veggie chili,383,Tex-Mex,3-Bean Veggie Chili,6.25,9d5f2,3-bean veggie chili
4341,vegan buddha bowl,38823,13518,5484,354,vegan buddha bowl,384,Vegetarian,Vegan Buddha Bowl,8.75,5b3d8,vegan buddha bowl
4349,palak paneer,3723,562,185,11,palak paneer,385,Indian,Palak Paneer,9.25,6a0c3,palak paneer
4357,vegan tofu pho,2624,655,164,10,vegan tofu pho,386,Vietnamese,Vegan Tofu Pho,8.75,1d4f2,vegan tofu pho
4365,chicken biryani,45548,16113,4365,164,chicken biryani,387,Indian,Chicken Biryani,9.5,b9e8c,chicken biryani
4373,crispy chicken strips,11458,2464,1213,43,crispy chicken strips,388,Fried Chicken,Crispy Chicken Strips,7.25,7c1a9,crispy chicken strips
4381,mediterranean quinoa salad,37039,13483,3988,148,mediterranean quinoa salad,389,Healthy,Mediterranean Quinoa Salad,9.0,4d9f1,mediterranean quinoa salad
4389,savory ham & cheese crepe,28830,4932,1317,113,savory ham & cheese crepe,390,French,Savory Ham & Cheese Crepe,7.5,0e7a4,savory ham & cheese crepe
